userid,placeid,datetime,lat,lon,city,category
fred-wilson,tocqueville-new-york,2010-10-22T23:44:29,40.7363,-73.9922,New York,Food:American
fred-wilson,wesleyan-university-usdan-university-center-middle,2010-10-23T17:00:24,41.556974,-72.657571,Middletown,College & Education:Student Center
fred-wilson,javapalooza-middletown,2010-10-23T20:30:45,41.5588525,-72.6486184,Middletown,Food:Coffee Shop
fred-wilson,giorgione-new-york,2010-10-24T00:22:49,40.726144,-74.008348,New York,Food:Italian
fred-wilson,the-shala-new-york,2010-10-24T16:01:38,40.733075,-73.991478,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,citarella-new-york,2010-10-24T19:20:18,40.7344,-73.999,New York,Shops:Food & Drink:Gourmet
fred-wilson,jeffreys-grocery-and-luncheonette-new-york,2010-10-25T12:03:10,40.733994,-74.001374,New York,Food:American
fred-wilson,jacks-coffee-new-york,2010-10-25T12:08:06,40.7345781,-74.0006365,New York,Food:Coffee Shop
fred-wilson,chelsea-piers-sports-center-new-york,2010-10-26T10:30:47,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,hudson-river-park-new-york,2010-10-26T11:01:00,40.7316816503,-74.0107727051,New York,Parks & Outdoors:Other - Parks & Outdoor
fred-wilson,jeffreys-grocery-and-luncheonette-new-york,2010-10-26T12:09:08,40.733994,-74.001374,New York,Food:American
fred-wilson,pastis-new-york,2010-10-22T12:14:35,40.739534795,-74.0061378479,New York,Food:French
fred-wilson,the-invisible-dog-gallery-brooklyn,2010-10-22T18:06:43,40.6871589,-73.9912443,Brooklyn,Arts & Entertainment:Art Gallery
fred-wilson,chelsea-piers-sports-center-new-york,2010-08-10T10:54:51,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,maialino-new-york,2010-08-10T13:11:35,40.738546,-73.985772,New York,Food:Italian
fred-wilson,joseph-leonard-new-york,2010-08-10T21:57:02,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,hudson-river-park-new-york,2010-08-11T10:30:09,40.7316816503,-74.0107727051,New York,Parks & Outdoors:Other - Parks & Outdoor
fred-wilson,punch-new-york,2010-08-11T17:41:08,40.7397,-73.99,New York,Food:American
fred-wilson,barbuto-new-york,2010-08-11T22:34:45,40.7378,-74.0082,New York,Food:Italian
fred-wilson,the-coffee-shop-new-york,2010-08-12T12:04:15,40.7365179,-73.991199,New York,Food:Coffee Shop
fred-wilson,buzzfeed-new-york,2010-08-12T23:32:00,40.723769,-73.999816,New York,Home / Work / Other:Corporate / Office:Tech Startup
fred-wilson,kamadeva-yoga,2010-08-13T13:22:42,40.964479,-72.187612,NULL,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,marys-marvelous-amagansett,2010-08-13T13:29:51,40.9753,-72.1413,Amagansett,Food:Bakery
fred-wilson,jacks-coffee-amagansett,2010-08-13T13:50:57,40.974401,-72.141917,Amagansett,Food:Café
fred-wilson,la-fondita-amagansett,2010-08-13T22:22:32,40.9769768,-72.1260539,Amagansett,Food:Tacos
fred-wilson,jacks-coffee-amagansett,2010-08-14T11:37:53,40.974401,-72.141917,Amagansett,Food:Café
fred-wilson,cirillos-supermarket-amagansett,2010-08-14T15:01:41,40.977089,-72.128038,Amagansett,Food:Other - Food
fred-wilson,hampton-market-place-east-hampton,2010-08-14T15:22:19,40.963737,-72.195271,East Hampton,Food:Deli / Bodega
fred-wilson,amagansett-hardware,2010-08-14T17:47:58,40.974322,-72.142344,NULL,Shops:Hardware
fred-wilson,amagansett-wine-and-spirits-amagansett,2010-08-14T17:59:24,40.9754,-72.1416,Amagansett,Shops:Food & Drink:Wine Shop
fred-wilson,prada-new-york,2010-09-06T19:19:46,40.724283,-73.997812,New York,Shops:Apparel
fred-wilson,john-varvatos-new-york,2010-09-06T20:09:27,40.723628,-74.000226,New York,Shops:Apparel
fred-wilson,joseph-leonard-new-york,2010-09-06T22:55:50,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,chelsea-piers-sports-center-new-york,2010-09-07T10:55:28,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,maialino-new-york,2010-09-07T13:03:36,40.738546,-73.985772,New York,Food:Italian
fred-wilson,paramount-screening-room-new-york,2010-09-08T01:03:27,40.757725,-73.986011,New York,Arts & Entertainment:Movie Theater
fred-wilson,esca-new-york,2010-09-08T01:32:45,40.7594684,-73.9930519,New York,Food:Seafood
fred-wilson,tarallucci-e-vino-new-york,2010-09-08T12:41:12,40.7381,-73.9908,New York,Food:Café
fred-wilson,jamba-juice-new-york,2010-09-08T19:22:24,40.7410898,-73.98993,New York,Food:Juice Bar
fred-wilson,battery-park-new-york,2010-09-08T21:24:58,40.703318066,-74.0168452263,New York,Parks & Outdoors:Park
fred-wilson,chelsea-piers-sports-center-new-york,2010-09-09T10:57:30,40.7469,-74.0082,New York,Parks & Outdoors:Skating Rink
fred-wilson,murrays-bagels-chelsea-new-york,2010-09-09T12:36:13,40.7448,-73.9985,New York,Food:Bagels
fred-wilson,village-community-school-new-york,2010-09-09T15:25:17,40.7335,-74.0082,New York,College & Education:Academic Building
fred-wilson,barbuto-new-york,2010-09-09T18:05:39,40.7378,-74.0082,New York,Food:Italian
fred-wilson,i-sodi-new-york,2010-09-11T00:12:49,40.7335,-74.005,New York,Food:Italian
fred-wilson,abingdon-square-greenmarket-new-york,2010-09-11T12:15:19,40.7371285469,-74.0055584908,New York,Shops:Food & Drink:Farmer's Market
fred-wilson,murrays-bagels-new-york,2010-09-11T12:21:56,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,kula-yoga-project-new-york,2010-09-11T17:56:30,40.714399,-74.007915,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,11th-street-cafe-new-york,2010-09-11T20:08:44,40.7356,-74.0075,New York,Food:Café
fred-wilson,landmark-sunshine-cinema-new-york,2010-09-11T23:05:37,40.7231655,-73.989781,New York,Arts & Entertainment:Movie Theater
fred-wilson,il-buco-new-york,2010-09-12T01:41:24,40.726,-73.9928,New York,Food:Italian
fred-wilson,john-varvatos-bowery-new-york,2010-09-12T03:36:13,40.7252083,-73.9920194,New York,Shops:Apparel:Men
fred-wilson,joseph-leonard-new-york,2010-09-12T15:12:54,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,nj-transit-secaucus-junction-station-secaucus,2010-09-13T20:46:14,40.76152842,-74.0752744675,Secaucus,Travel:Train Station
fred-wilson,new-meadowlands-stadium-east-rutherford,2010-09-13T21:43:15,40.8140365898,-74.074716568,East Rutherford,Arts & Entertainment:Stadium:Football
fred-wilson,cooley-godward-kronish-llp-new-york,2010-09-14T13:22:17,40.754805,-73.982905,New York,Home / Work / Other:Corporate / Office
fred-wilson,jamba-juice-new-york,2010-09-14T19:49:27,40.7410898,-73.98993,New York,Food:Juice Bar
fred-wilson,hearth-new-york,2010-09-15T01:52:16,40.7299,-73.9834,New York,Food:New American
fred-wilson,dumbo-general-store-brooklyn,2010-09-15T12:30:37,40.7026185819,-73.9890146255,Brooklyn,Food:Café
fred-wilson,etsy-brooklyn,2010-09-15T13:05:32,40.7029,-73.9895,Brooklyn,Home / Work / Other:Corporate / Office:Tech Startup
fred-wilson,foursquare-hq-new-york,2010-09-15T22:22:22,40.7282750809,-73.9911818504,New York,Home / Work / Other:Corporate / Office:Tech Startup
fred-wilson,gramercy-tavern-new-york,2010-09-15T23:41:20,40.7384,-73.9885,New York,Food:New American
fred-wilson,hudson-river-park-new-york,2010-09-16T10:53:38,40.7414626,-74.0087299,New York,Parks & Outdoors:Park
fred-wilson,starbucks-new-york,2010-09-16T12:53:31,40.7404,-73.991431,New York,Food:Coffee Shop
fred-wilson,openplans-new-york,2010-09-17T00:38:27,40.7195453,-73.9995481,New York,Home / Work / Other:Other - Buildings
fred-wilson,thalassa-new-york,2010-09-17T00:53:16,40.7194,-74.0095,New York,Food:Greek
fred-wilson,the-coffee-shop-new-york,2010-09-17T12:36:35,40.7365179,-73.991199,New York,Food:Coffee Shop
fred-wilson,15-east-new-york,2010-09-17T17:21:02,40.7363,-73.9922,New York,Food:Japanese
fred-wilson,culture-espresso-bar-new-york,2010-09-17T19:00:18,40.7521,-73.9855,New York,Food:Coffee Shop
fred-wilson,ma-peche-new-york,2010-09-17T23:16:37,40.7627651,-73.9755462,New York,Food:Asian
fred-wilson,murrays-bagels-new-york,2010-09-18T12:08:36,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,city-cinemas-village-east-new-york,2010-09-18T23:07:43,40.730916,-73.9861102,New York,Arts & Entertainment:Movie Theater:Cineplex
fred-wilson,zampa-new-york,2010-09-19T02:01:20,40.739131,-74.003625,New York,Nightlife:Wine Bar
fred-wilson,jacks-coffee-new-york,2010-09-19T12:14:05,40.7345781,-74.0006365,New York,Food:Coffee Shop
fred-wilson,murrays-bagels-new-york,2010-09-19T12:30:53,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,the-shala-new-york,2010-09-19T16:07:10,40.733075,-73.991478,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,pie-new-york,2010-09-19T16:14:15,40.7329517,-73.9900104,New York,Food:Pizza
fred-wilson,best-buy-new-york,2010-09-19T16:33:14,40.734421,-73.99012,New York,Shops:Video Games
fred-wilson,john-varvatos-new-york,2010-09-19T16:42:56,40.723628,-74.000226,New York,Shops:Apparel
fred-wilson,john-f-kennedy-international-airport-jfk-queens,2010-09-20T10:32:23,40.6451219184,-73.783493042,Queens,Travel:Airport
fred-wilson,san-francisco-international-airport-sfo-san-franci,2010-09-20T17:10:37,37.6163730619,-122.38615036,San Francisco,Travel:Airport
fred-wilson,quince-san-francisco,2010-09-21T03:58:45,37.797361,-122.403499,San Francisco,Food:Italian
fred-wilson,blue-bottle-cafe-san-francisco,2010-09-21T15:14:33,37.7824639581,-122.407822609,San Francisco,Food:Coffee Shop
fred-wilson,san-francisco-international-airport-sfo-san-franci,2010-09-22T04:33:46,37.6163730619,-122.38615036,San Francisco,Travel:Airport
fred-wilson,john-f-kennedy-international-airport-jfk-queens,2010-09-22T10:37:43,40.6451219184,-73.783493042,Queens,Travel:Airport
fred-wilson,kula-yoga-project-new-york,2010-09-22T13:08:22,40.714399,-74.007915,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,11th-street-cafe-new-york,2010-09-22T14:41:12,40.7356,-74.0075,New York,Food:Café
fred-wilson,bravo-pizza-5th-ave-new-york,2010-09-22T17:29:13,40.739443,-73.991523,New York,Food:Pizza
fred-wilson,citarella-new-york,2010-09-22T21:11:50,40.7344,-73.999,New York,Shops:Food & Drink:Gourmet
fred-wilson,joseph-leonard-new-york,2010-09-23T13:12:01,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,boxee-nyc-new-york,2010-09-23T19:50:28,40.7385304,-73.9954649,New York,Home / Work / Other:Corporate / Office
fred-wilson,the-coffee-shop-new-york,2010-09-24T12:23:00,40.7365179,-73.991199,New York,Food:Coffee Shop
fred-wilson,new-work-city-new-york,2010-09-24T15:04:57,40.7189264447,-74.0018033981,New York,Home / Work / Other:Event Space
fred-wilson,punch-new-york,2010-09-24T16:30:32,40.7397,-73.99,New York,Food:American
fred-wilson,scarpetta-new-york,2010-09-24T23:31:25,40.7407,-74.0048,New York,Food:Italian
fred-wilson,murrays-bagels-new-york,2010-09-25T11:43:21,40.7363,-73.9971,New York,Food:Sandwiches
fred-wilson,marie-robinson-salon-new-york,2010-09-25T13:01:16,40.7406145,-73.9902432,New York,Shops:Salon / Barbershop
fred-wilson,jacks-coffee-new-york,2010-09-25T14:14:17,40.7345781,-74.0006365,New York,Food:Coffee Shop
fred-wilson,co-new-york,2010-09-25T18:42:31,40.7473,-74.0008,New York,Food:Pizza
fred-wilson,margaret-thatcher-projects-new-york,2010-09-25T19:40:46,40.7483032,-74.0056048,New York,Arts & Entertainment:Art Gallery
fred-wilson,gagosian-gallery-new-york,2010-09-25T20:00:02,40.7493142,-74.0058572,New York,Arts & Entertainment:Art Gallery
fred-wilson,high-line-park-new-york,2010-09-25T20:11:11,40.7447453245,-74.0068888664,New York,Parks & Outdoors:Park
fred-wilson,peels-new-york,2010-09-26T00:00:45,40.725683,-73.991851,New York,Food:American
fred-wilson,joseph-leonard-new-york,2010-09-26T02:58:10,40.7336653479,-74.0015459061,New York,Food:American
fred-wilson,dagostino-supermarket-store-16-new-york,2010-09-26T12:22:48,40.737189,-74.00677,New York,Shops:Food & Drink:Grocery / Supermarket
fred-wilson,the-shala-new-york,2010-09-26T16:02:51,40.733075,-73.991478,New York,Home / Work / Other:Gym / Fitness:Yoga Studio
fred-wilson,the-breslin-new-york,2010-09-28T02:37:55,40.7457508,-73.9879738,New York,Food:Breakfast / Brunch
fred-wilson,midtown-loft-and-terrace-new-york,2010-09-28T18:08:19,40.7453,-73.9865,New York,Nightlife:Lounge
fred-wilson,hudson-river-park-new-york,2010-09-29T10:25:09,40.7414626,-74.0087299,New York,Parks & Outdoors:Park
fred-wilson,dean-deluca-new-york,2010-09-29T12:21:17,40.7558072014,-73.9906024933,New York,Food:Café
fred-wilson,pastis-new-york,2010-09-30T12:04:22,40.739534795,-74.0061378479,New York,Food:French
fred-wilson,murrays-bagels-new-york,2010-10-02T11:36:46,40.7363,-73.9971,New York,Food:Sandwiches
